time,ticker,action,quantity,target_price,executed_price,commission,slippage_cost,total_cost,realized_pnl,cash_balance,holdings_value,portfolio_value,status,notes
2025-02-18,AAPL,buy,1022.0071581217835,244.47,244.61668199999997,250.0,599.9999999998773,250250.0,0.0,749750.0,249850.0899460324,999600.0899460324,EXECUTED,Reduced due to position limit
2025-02-18,XOM,buy,2267.5701142462162,110.14,110.20608399999999,249.90002248650808,599.9999999999035,250149.92250899458,0.0,499600.0774910054,499600.26232911064,999200.3398201161,EXECUTED,Reduced due to position limit
2025-02-18,XLF,sell,0.0,52.17,0.0,0.0,0.0,0.0,0.0,499600.0774910054,499600.26232911064,999200.3398201161,REJECTED,No position to sell (shorting disabled)
2025-02-18,WMT,sell,0.0,103.78,0.0,0.0,0.0,0.0,0.0,499600.0774910054,499600.26232911064,999200.3398201161,REJECTED,No position to sell (shorting disabled)
2025-02-18,V,sell,0.0,356.73,0.0,0.0,0.0,0.0,0.0,499600.0774910054,499600.26232911064,999200.3398201161,REJECTED,No position to sell (shorting disabled)
2025-02-18,UNH,sell,0.0,500.73,0.0,0.0,0.0,0.0,0.0,499600.0774910054,499600.26232911064,999200.3398201161,REJECTED,No position to sell (shorting disabled)
2025-02-18,TLT,sell,0.0,88.1,0.0,0.0,0.0,0.0,0.0,499600.0774910054,499600.26232911064,999200.3398201161,REJECTED,No position to sell (shorting disabled)
2025-02-18,SPY,buy,408.5104988716561,611.49,611.49,249.800084955029,0.0,250049.88503998404,0.0,249550.19245102137,749400.3472841396,998950.539735161,EXECUTED,Reduced due to position limit
2025-02-18,QQQ,buy,461.93040161490353,539.37,539.693622,249.30089155946195,600.0000000000006,249550.1924510214,0.0,-2.9103830456733704e-11,998551.7480031701,998551.7480031701,EXECUTED,Reduced due to cash constraint
2025-02-18,PFE,buy,0.0,25.56,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,998551.7480031701,998551.7480031701,REJECTED,Insufficient cash
2025-02-18,NVDA,buy,0.0,139.4,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,998551.7480031701,998551.7480031701,REJECTED,Insufficient cash
2025-02-18,NFLX,sell,0.0,103.59,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,998551.7480031701,998551.7480031701,REJECTED,No position to sell (shorting disabled)
2025-02-18,MU,buy,0.0,106.79,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,998551.7480031701,998551.7480031701,REJECTED,Insufficient cash
2025-02-18,MSFT,buy,0.0,409.64,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,998551.7480031701,998551.7480031701,REJECTED,Insufficient cash
2025-02-18,LQD,buy,0.0,107.55,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,998551.7480031701,998551.7480031701,REJECTED,Insufficient cash
2025-02-18,PG,sell,0.0,165.43,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,998551.7480031701,998551.7480031701,REJECTED,No position to sell (shorting disabled)
2025-02-18,IWM,sell,0.0,227.21,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,998551.7480031701,998551.7480031701,REJECTED,No position to sell (shorting disabled)
2025-02-18,JPM,sell,0.0,279.95,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,998551.7480031701,998551.7480031701,REJECTED,No position to sell (shorting disabled)
2025-02-18,AMZN,sell,0.0,226.65,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,998551.7480031701,998551.7480031701,REJECTED,No position to sell (shorting disabled)
2025-02-18,BA,sell,0.0,184.97,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,998551.7480031701,998551.7480031701,REJECTED,No position to sell (shorting disabled)
2025-02-18,BAC,sell,0.0,46.53,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,998551.7480031701,998551.7480031701,REJECTED,No position to sell (shorting disabled)
2025-02-18,CSCO,buy,0.0,64.59,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,998551.7480031701,998551.7480031701,REJECTED,Insufficient cash
2025-02-18,CVX,sell,0.0,156.16,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,998551.7480031701,998551.7480031701,REJECTED,No position to sell (shorting disabled)
2025-02-18,AMD,buy,0.0,114.28,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,998551.7480031701,998551.7480031701,REJECTED,Insufficient cash
2025-02-18,GLD,buy,0.0,270.7,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,998551.7480031701,998551.7480031701,REJECTED,Insufficient cash
2025-02-18,GOOG,sell,0.0,185.8,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,998551.7480031701,998551.7480031701,REJECTED,No position to sell (shorting disabled)
2025-02-18,GOOGL,buy,0.0,183.77,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,998551.7480031701,998551.7480031701,REJECTED,Insufficient cash
2025-02-18,HYG,sell,0.0,79.69,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,998551.7480031701,998551.7480031701,REJECTED,No position to sell (shorting disabled)
2025-02-18,IVV,sell,0.0,614.48,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,998551.7480031701,998551.7480031701,REJECTED,No position to sell (shorting disabled)
2025-02-18,DIA,buy,0.0,445.92,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,998551.7480031701,998551.7480031701,REJECTED,Insufficient cash
2025-02-19,MU,buy,0.0,104.36,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,999980.9067633157,999980.9067633157,REJECTED,Insufficient cash
2025-02-19,NFLX,buy,0.0,104.33,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,999980.9067633157,999980.9067633157,REJECTED,Insufficient cash
2025-02-19,NVDA,buy,0.0,139.23,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,999980.9067633157,999980.9067633157,REJECTED,Insufficient cash
2025-02-19,PFE,sell,0.0,25.89,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,999980.9067633157,999980.9067633157,REJECTED,No position to sell (shorting disabled)
2025-02-19,QQQ,sell,0.515462319061271,539.52,539.196288,0.277935369041709,0.1668613382279624,278.2133044107507,-0.812484032008399,277.6574336726382,999702.8045329357,999980.4619666084,EXECUTED,
